"Nom";"Prénom";"Date_depot";"Version";"Type_mandat";"Mandat";"Section";"Description";"Détails";"Valeur";"ver"
"belloubet";"nicole";2017-08-06;"na";"membre du gouvernement";"ministre de la justice";"immeubledto";"maison individuelle";"200";188000;4
"belloubet";"nicole";2017-08-06;"na";"membre du gouvernement";"ministre de la justice";"immeubledto";"maison individuelle";"136";441750;4
"belloubet";"nicole";2017-08-06;"na";"membre du gouvernement";"ministre de la justice";"immeubledto";"appartement";"285";55000;4
"belloubet";"nicole";2017-08-06;"na";"membre du gouvernement";"ministre de la justice";"immeubledto";"garage";"20";4125;4
"belloubet";"nicole";2017-08-06;"na";"membre du gouvernement";"ministre de la justice";"valeursenboursedto";"compte titre";"";45;4
"belloubet";"nicole";2017-08-06;"na";"membre du gouvernement";"ministre de la justice";"assuranceviedto";"c r du crédit agricole [données non publiées]";"";195102;4
"belloubet";"nicole";2017-08-06;"na";"membre du gouvernement";"ministre de la justice";"comptesbancairedto";"compte courant";"cr ca [données non publiées]";3466;4
"belloubet";"nicole";2017-08-06;"na";"membre du gouvernement";"ministre de la justice";"comptesbancairedto";"livret a";"cr ca [données non publiées]";353;4
"belloubet";"nicole";2017-08-06;"na";"membre du gouvernement";"ministre de la justice";"comptesbancairedto";"pel";"cr ca [données non publiées]";60303;4
"belloubet";"nicole";2017-08-06;"na";"membre du gouvernement";"ministre de la justice";"vehiculedto";"terrestre à moteur";"";15000;4
"belloubet";"nicole";2017-08-06;"na";"membre du gouvernement";"ministre de la justice";"passifdto";"prêt pour acquisition véhicule";"socram banque maif";4854;4
"belloubet";"nicole";2017-08-06;"na";"membre du gouvernement";"ministre de la justice";"passifdto";"prêt logement";"cr ca [données non publiées]";208693;4
"belloubet";"nicole";2017-12-01;"na";"membre du gouvernement";"ministre de la justice";"immeubledto";"maison individuelle";"200";188000;3
"belloubet";"nicole";2017-12-01;"na";"membre du gouvernement";"ministre de la justice";"immeubledto";"maison individuelle";"136";441750;3
"belloubet";"nicole";2017-12-01;"na";"membre du gouvernement";"ministre de la justice";"immeubledto";"appartement";"285";55000;3
"belloubet";"nicole";2017-12-01;"na";"membre du gouvernement";"ministre de la justice";"immeubledto";"appartement";"61";217000;3
"belloubet";"nicole";2017-12-01;"na";"membre du gouvernement";"ministre de la justice";"immeubledto";"appartement";"32";47000;3
"belloubet";"nicole";2017-12-01;"na";"membre du gouvernement";"ministre de la justice";"immeubledto";"maison";"184";72000;3
"belloubet";"nicole";2017-12-01;"na";"membre du gouvernement";"ministre de la justice";"immeubledto";"garage";"20";4125;3
"belloubet";"nicole";2017-12-01;"na";"membre du gouvernement";"ministre de la justice";"valeursenboursedto";"compte titre";"";45;3
"belloubet";"nicole";2017-12-01;"na";"membre du gouvernement";"ministre de la justice";"assuranceviedto";"c r du crédit agricole [données non publiées]";"";195102;3
"belloubet";"nicole";2017-12-01;"na";"membre du gouvernement";"ministre de la justice";"comptesbancairedto";"compte courant";"cr ca [données non publiées]";3466;3
"belloubet";"nicole";2017-12-01;"na";"membre du gouvernement";"ministre de la justice";"comptesbancairedto";"livret a";"cr ca [données non publiées]";353;3
"belloubet";"nicole";2017-12-01;"na";"membre du gouvernement";"ministre de la justice";"comptesbancairedto";"pel";"cr ca [données non publiées]";60303;3
"belloubet";"nicole";2017-12-01;"na";"membre du gouvernement";"ministre de la justice";"vehiculedto";"terrestre à moteur";"";15000;3
"belloubet";"nicole";2017-12-01;"na";"membre du gouvernement";"ministre de la justice";"passifdto";"prêt pour acquisition véhicule";"socram banque maif";4854;3
"belloubet";"nicole";2017-12-01;"na";"membre du gouvernement";"ministre de la justice";"passifdto";"prêt logement";"cr ca [données non publiées]";208693;3
"blanquer";"jean-michel";2017-07-19;"na";"membre du gouvernement";"ministre de l'education nationale";"immeubledto";"appartement";"240";840000;2
"blanquer";"jean-michel";2017-07-19;"na";"membre du gouvernement";"ministre de l'education nationale";"immeubledto";"maison individuelle";"190";350000;2
"blanquer";"jean-michel";2017-07-19;"na";"membre du gouvernement";"ministre de l'education nationale";"valeursenboursedto";"compte titre";"";30986;2
"blanquer";"jean-michel";2017-07-19;"na";"membre du gouvernement";"ministre de l'education nationale";"valeursenboursedto";"pea";"";1093;2
"blanquer";"jean-michel";2017-07-19;"na";"membre du gouvernement";"ministre de l'education nationale";"assuranceviedto";"societe generale";"";17264;2
"blanquer";"jean-michel";2017-07-19;"na";"membre du gouvernement";"ministre de l'education nationale";"comptesbancairedto";"compte courant";"societe generale";22702;2
"blanquer";"jean-michel";2017-07-19;"na";"membre du gouvernement";"ministre de l'education nationale";"comptesbancairedto";"livret a";"societe generale";284;2
"blanquer";"jean-michel";2017-07-19;"na";"membre du gouvernement";"ministre de l'education nationale";"comptesbancairedto";"pel";"societe generale";3998;2
"blanquer";"jean-michel";2017-07-19;"na";"membre du gouvernement";"ministre de l'education nationale";"comptesbancairedto";"compte courant";"societe generale";0;2
"blanquer";"jean-michel";2017-12-07;"na";"membre du gouvernement";"ministre de l'education nationale";"immeubledto";"appartement";"240";484000;1
"blanquer";"jean-michel";2017-12-07;"na";"membre du gouvernement";"ministre de l'education nationale";"immeubledto";"maison individuelle";"190";430000;1
"blanquer";"jean-michel";2017-12-07;"na";"membre du gouvernement";"ministre de l'education nationale";"valeursenboursedto";"compte titre";"";30986;1
"blanquer";"jean-michel";2017-12-07;"na";"membre du gouvernement";"ministre de l'education nationale";"valeursenboursedto";"pea";"";1093;1
"blanquer";"jean-michel";2017-12-07;"na";"membre du gouvernement";"ministre de l'education nationale";"assuranceviedto";"societe generale";"";17264;1
"blanquer";"jean-michel";2017-12-07;"na";"membre du gouvernement";"ministre de l'education nationale";"comptesbancairedto";"compte courant";"societe generale";22702;1
"blanquer";"jean-michel";2017-12-07;"na";"membre du gouvernement";"ministre de l'education nationale";"comptesbancairedto";"livret a";"societe generale";284;1
"blanquer";"jean-michel";2017-12-07;"na";"membre du gouvernement";"ministre de l'education nationale";"comptesbancairedto";"pel";"societe generale";3998;1
"blanquer";"jean-michel";2017-12-07;"na";"membre du gouvernement";"ministre de l'education nationale";"comptesbancairedto";"compte courant";"societe generale";0;1
"borne";"elisabeth";2017-05-26;"na";"membre du gouvernement";"ministre chargé des transports";"immeubledto";"appartement";"68";576000;2
"borne";"elisabeth";2017-05-26;"na";"membre du gouvernement";"ministre chargé des transports";"immeubledto";"appartement";"43";410000;2
"borne";"elisabeth";2017-05-26;"na";"membre du gouvernement";"ministre chargé des transports";"valeursenboursedto";"pea";"";100;2
"borne";"elisabeth";2017-05-26;"na";"membre du gouvernement";"ministre chargé des transports";"valeursenboursedto";"pea";"";15278;2
"borne";"elisabeth";2017-05-26;"na";"membre du gouvernement";"ministre chargé des transports";"valeursenboursedto";"pea";"";931;2
"borne";"elisabeth";2017-05-26;"na";"membre du gouvernement";"ministre chargé des transports";"assuranceviedto";"société générale";"";42914;2
"borne";"elisabeth";2017-05-26;"na";"membre du gouvernement";"ministre chargé des transports";"comptesbancairedto";"compte courant";"société générale";61425;2
"borne";"elisabeth";2017-05-26;"na";"membre du gouvernement";"ministre chargé des transports";"comptesbancairedto";"livret a";"société générale";23093;2
"borne";"elisabeth";2017-05-26;"na";"membre du gouvernement";"ministre chargé des transports";"comptesbancairedto";"ldd";"société générale";11174;2
"borne";"elisabeth";2017-05-26;"na";"membre du gouvernement";"ministre chargé des transports";"comptesbancairedto";"pel";"société générale";72051;2
"borne";"elisabeth";2017-05-26;"na";"membre du gouvernement";"ministre chargé des transports";"comptesbancairedto";"compte d'épargne";"société générale";238;2
"borne";"elisabeth";2017-05-26;"na";"membre du gouvernement";"ministre chargé des transports";"vehiculedto";"terrestre à moteur";"";10780;2
"borne";"elisabeth";2017-05-26;"na";"membre du gouvernement";"ministre chargé des transports";"passifdto";"prêt immobilier";"société générale";189281;2
"buzyn";"agnès";2017-07-16;"na";"membre du gouvernement";"ministre des solidarités et de la santé";"immeubledto";"appartement";"35";122000;2
"buzyn";"agnès";2017-07-16;"na";"membre du gouvernement";"ministre des solidarités et de la santé";"immeubledto";"appartement";"100";1119000;2
"buzyn";"agnès";2017-07-16;"na";"membre du gouvernement";"ministre des solidarités et de la santé";"immeubledto";"maison individuelle";"90";300000;2
"buzyn";"agnès";2017-07-16;"na";"membre du gouvernement";"ministre des solidarités et de la santé";"immeubledto";"appartement";"18";136000;2
"buzyn";"agnès";2017-07-16;"na";"membre du gouvernement";"ministre des solidarités et de la santé";"immeubledto";"appartement";"71";295000;2
"buzyn";"agnès";2017-07-16;"na";"membre du gouvernement";"ministre des solidarités et de la santé";"scidto";"[données non publiées]";"50.0";21931;2
"buzyn";"agnès";2017-07-16;"na";"membre du gouvernement";"ministre des solidarités et de la santé";"scidto";"[données non publiées]";"50.0";375000;2
"buzyn";"agnès";2017-07-16;"na";"membre du gouvernement";"ministre des solidarités et de la santé";"valeursenboursedto";"compte titre";"";16705;2
"buzyn";"agnès";2017-07-16;"na";"membre du gouvernement";"ministre des solidarités et de la santé";"valeursenboursedto";"compte titre";"";20576;2
"buzyn";"agnès";2017-07-16;"na";"membre du gouvernement";"ministre des solidarités et de la santé";"assuranceviedto";"agrr";"";61433;2
